ID,Name,Concepticon_ID,Concepticon_Gloss
082,FIRE,221,FIRE
055,EAT,1336,EAT
080,CLOUD,1489,CLOUD
065,WALK,1443,WALK
004,THIS,1214,THIS
047,KNEE,1371,KNEE
063,SWIM,1439,SWIM
096,GOOD,1035,GOOD
081,SMOKE,778,SMOKE (EXHAUST)
098,ROUND,1395,ROUND
045,CLAW,72,CLAW
012,TWO,1498,TWO
032,EGG,744,EGG
076,RAIN,2108,RAINING OR RAIN
057,SEE,1409,SEE
029,FLESH/MEAT,2615,FLESH OR MEAT
003,WE (INCLUSIVE),1131,WE (INCLUSIVE)
031,BONE,1394,BONE
010,MANY,1198,MANY
094,COLD,1287,COLD
073,MOON,1313,MOON
093,HOT,1286,HOT
053,LIVER,1224,LIVER
074,STAR,1430,STAR
024,SEED,714,SEED
059,KNOW,1410,KNOW (SOMETHING)
052,HEART/GUTS,2436,GUTS OR HEART
039,EAR,1247,EAR
028,SKIN,763,SKIN
001,I,1209,I
089,YELLOW,1424,YELLOW
077,STONE,857,STONE
025,LEAF,628,LEAF
043,TOOTH,1380,TOOTH
086,MOUNTAIN,639,MOUNTAIN
030,BLOOD,946,BLOOD
007,WHO,1235,WHO
020,BIRD,937,BIRD
026,ROOT,670,ROOT
099,DRY,1398,DRY
027,BARK,1204,BARK
067,LIE (DOWN),1411,LIE (REST)
022,LOUSE,1392,LOUSE
046,FOOT,1301,FOOT
062,KILL,1417,KILL
015,SMALL,1246,SMALL
002,YOU,1215,THOU
085,PATH,2252,PATH
011,ONE,1493,ONE
021,DOG,2009,DOG
013,BIG,1202,BIG
041,NOSE,1221,NOSE
084,BURN (INTR.),1428,BURNING
069,STAND,1442,STAND
051,BREAST,1402,BREAST
092,NIGHT,1233,NIGHT
044,TONGUE,1205,TONGUE
072,SUN,1343,SUN
088,GREEN,1425,GREEN
087,RED,156,RED
061,DIE,1494,DIE
054,DRINK,1401,DRINK
050,NECK,1333,NECK
078,SAND,671,SAND
035,TAIL,1220,TAIL
042,MOUTH,674,MOUTH
058,HEAR,1408,HEAR
066,COME,1446,COME
075,WATER,948,WATER
036,FEATHER,1201,FEATHER
083,ASH,646,ASH
037,HAIR,1040,HAIR
019,FISH,227,FISH
034,HORN,1393,HORN (ANATOMY)
006,WHAT,1236,WHAT
009,ALL,98,ALL
005,THAT,78,THAT
049,BELLY,1251,BELLY
038,HEAD,1256,HEAD
023,TREE,906,TREE
090,WHITE,1335,WHITE
070,GIVE,1447,GIVE
091,BLACK,163,BLACK
008,NOT,1240,NOT
071,SAY,1458,SAY
048,HAND,1277,HAND
097,NEW,1231,NEW
040,EYE,1248,EYE
033,GREASE/FAT,323,FAT (ORGANIC SUBSTANCE)
100,NAME,1405,NAME
056,BITE,1403,BITE
016,WOMAN,962,WOMAN
017,MAN,1554,MAN
095,FULL,1429,FULL
079,EARTH,1228,EARTH (SOIL)
018,PERSON,683,PERSON
064,FLY,1441,FLY (MOVE THROUGH AIR)
014,LONG,1203,LONG
060,SLEEP,1585,SLEEP
068,SIT,1416,SIT
